Product Code,Ship Direct Flag,Delivery Flash,Stock Level,Stock Promise Date,DROPPEDLINE
*EV6864,STOCKED,,0,,Y
18250403210F,STOCKED,,0,,Y
19300101,STOCKED,,0,,Y
19300201,STOCKED,,0,,Y
19310201,STOCKED,,5,,N
19410201,STOCKED,,9,,Y
19410301,STOCKED,,0,,Y
19410820,STOCKED,,0,,Y
19410822,STOCKED,,0,,Y
19510250,STOCKED,,0,,Y
19530501,STOCKED,,5,,Y
19562322.06,DIRECT,DF_35DAYS,0,,N
19562324,STOCKED,,0,,Y
19563107.06,STOCKED,,13,,Y
19563125,STOCKED,,5,,N
19563151,STOCKED,,11,,N
19564019,STOCKED,,18,,Y
19702504,STOCKED,,0,,Y
1G0005,STOCKED,,100,,N
1G0036,STOCKED,,0,,Y
1G0037,STOCKED,,0,,Y
1G0055,STOCKED,,0,,Y
1G0056,STOCKED,,19,,Y
1G0058,STOCKED,,17,,N
1G0059,STOCKED,,0,,Y
1G0064,STOCKED,,100,,Y
1G0070,STOCKED,,0,,Y
1G0077,STOCKED,,0,,Y
1G0079,STOCKED,DF_45WEEKS,0,,N
1G0080,STOCKED,,31,,Y
1G0082,STOCKED,,0,,Y
1G0083,STOCKED,,0,,Y
1G2170,STOCKED,,100,,N
1G2290,STOCKED,,76,,Y
1G2484,STOCKED,,18,,N
2501-001019,STOCKED,,10,,N
2501-001282,STOCKED,DF_23WEEKS,0,,N
2501-001284,STOCKED,,100,,N
2501-001285,STOCKED,,0,,N
3405-001032,STOCKED,DF_23WEEKS,15,,N
3601-000448,STOCKED,,100,,N
3601-001019,STOCKED,,100,,N
3601-001126,STOCKED,,0,,N
4713-001524,STOCKED,,100,,N
A005-L,STOCKED,,0,,Y
A005-M,STOCKED,,0,,Y
A005-S,STOCKED,,0,,Y
A005-XL,STOCKED,,0,,Y
A005-XS,STOCKED,,0,,Y
A008-28,STOCKED,,0,,Y
A008-30,STOCKED,,0,,Y
A008-32,STOCKED,,0,,Y
A008-34,STOCKED,,0,,Y
A008-36,STOCKED,,0,,Y
A008-38,STOCKED,,0,,Y
A008-40,STOCKED,,0,,Y
A008-42,STOCKED,,0,,Y
A008L-30,STOCKED,,0,,Y
A008L-32,STOCKED,,0,,Y
A008L-36,STOCKED,,0,,Y
A008L-38,STOCKED,,0,,Y
A008L-40,STOCKED,,0,,Y
A008L-42,STOCKED,,0,,Y
A008L-44,STOCKED,,0,,Y
A008L-46,STOCKED,,0,,Y
